start_sec,end_sec,label
0.0,0.33,voiced
0.32,0.5,unvoiced
0.49,0.55,voiced
0.54,0.7,unvoiced
0.69,0.75,voiced
0.74,0.85,unvoiced
0.84,0.95,voiced
0.94,1.07,unvoiced
1.06,1.15,voiced
1.14,1.4,unvoiced
1.39,1.57,voiced
1.56,1.64,unvoiced
1.63,1.67,voiced
1.66,1.7,unvoiced
1.69,1.76,voiced
1.75,1.8,unvoiced
1.79,1.86,voiced
1.85,2.0799999999999996,unvoiced
2.07,2.15,voiced
2.14,2.48,unvoiced
2.47,2.5399999999999996,voiced
2.53,2.59,unvoiced
2.58,2.6199999999999997,voiced
2.61,2.7199999999999998,unvoiced
2.71,2.7699999999999996,voiced
2.76,2.9,unvoiced
2.89,2.9699999999999998,voiced
2.96,3.09,unvoiced
3.08,3.13,voiced
3.12,3.2199999999999998,unvoiced
3.21,3.28,voiced
3.27,3.48,unvoiced
3.47,3.6199999999999997,voiced
3.61,3.71,unvoiced
3.7,3.98,voiced
